TransactionID,Date,ProductID,ProductName,ProductCategory,QuantitySold,UnitPrice,CustomerID,CustomerName,CustomerSector,Country,Region,ProductionCost,TotalSaleAmount,Profit
9443,2023-08-01,1121,Product_1409,Robotics,16,562,47,Customer_379,Automotive,China,North America,598,8992,-576
9465,2023-08-01,1264,Product_1112,Microchip,79,609,453,Customer_331,Industrial,Germany,North America,581,48111,2212
8673,2023-08-01,1121,Product_1466,Robotics,84,57,120,Customer_157,Industrial,China,North America,762,4788,-59220
7540,2023-08-01,1361,Product_1387,Robotics,84,106,463,Customer_364,Automotive,China,Europe,64,8904,3528
7177,2023-08-01,1295,Product_1349,Robotics,36,994,90,Customer_491,Automotive,China,Asia-Pacific,191,35784,28908
7602,2023-08-01,1078,Product_1005,Robotics,94,540,5,Customer_289,Consumer Electronics,Germany,North America,657,50760,-10998
7297,2023-08-01,1055,Product_1152,Sensor,68,68,314,Customer_469,Automotive,South Korea,North America,347,4624,-18972
7723,2023-08-01,1006,Product_1022,Sensor,82,917,337,Customer_105,Industrial,Germany,North America,27,75194,72980
6096,2023-08-01,1408,Product_1344,Sensor,27,671,500,Customer_354,Industrial,USA,Asia-Pacific,67,18117,16308
5981,2023-08-01,1101,Product_1487,Sensor,26,732,350,Customer_442,Industrial,Japan,Europe,42,19032,17940
7731,2023-08-01,1183,Product_1454,Robotics,49,214,255,Customer_474,Automotive,South Korea,Asia-Pacific,240,10486,-1274
5803,2023-08-01,1355,Product_1369,Sensor,12,560,107,Customer_112,Industrial,South Korea,Asia-Pacific,175,6720,4620
10000,2023-08-01,1243,Product_1048,Microchip,5,343,458,Customer_245,Industrial,South Korea,Europe,247,1715,480
2682,2023-08-01,1079,Product_1216,Microchip,93,259,90,Customer_146,Automotive,Germany,Asia-Pacific,358,24087,-9207
108,2023-08-01,1230,Product_1213,Sensor,50,433,166,Customer_494,Consumer Electronics,USA,Asia-Pacific,794,21650,-18050
55,2023-08-01,1151,Product_1106,Microchip,47,384,184,Customer_451,Industrial,Japan,Asia-Pacific,113,18048,12737
1588,2023-08-01,1448,Product_1200,Microchip,69,523,289,Customer_296,Automotive,USA,Europe,280,36087,16767
4495,2023-08-01,1305,Product_1023,Microchip,93,140,262,Customer_189,Consumer Electronics,South Korea,North America,532,13020,-36456
5646,2023-08-01,1180,Product_1108,Robotics,79,824,444,Customer_271,Automotive,Germany,Asia-Pacific,292,65096,42028
1779,2023-08-01,1424,Product_1089,Sensor,2,531,306,Customer_261,Consumer Electronics,USA,Europe,641,1062,-220
5545,2023-08-01,1354,Product_1447,Robotics,49,460,239,Customer_231,Consumer Electronics,USA,Europe,295,22540,8085
4345,2023-08-01,1039,Product_1380,Sensor,40,340,401,Customer_469,Automotive,USA,Europe,324,13600,640
4675,2023-08-01,1126,Product_1037,Microchip,78,316,291,Customer_63,Automotive,USA,Europe,75,24648,18798
2903,2023-08-01,1486,Product_1500,Robotics,80,779,344,Customer_417,Automotive,USA,Asia-Pacific,698,62320,6480
5336,2023-08-01,1007,Product_1123,Microchip,65,489,163,Customer_423,Industrial,China,Europe,422,31785,4355
5283,2023-08-01,1472,Product_1337,Microchip,74,636,6,Customer_110,Industrial,Germany,Asia-Pacific,83,47064,40922
1324,2023-08-01,1465,Product_1364,Sensor,9,40,111,Customer_406,Automotive,China,Europe,728,360,-6192
631,2023-08-01,1150,Product_1114,Sensor,42,777,377,Customer_114,Automotive,Germany,North America,83,32634,29148
1724,2023-08-01,1058,Product_1396,Sensor,22,342,378,Customer_438,Industrial,South Korea,Europe,185,7524,3454
8164,2023-08-02,1304,Product_1225,Robotics,61,270,50,Customer_86,Industrial,China,North America,59,16470,12871
4249,2023-08-02,1265,Product_1450,Microchip,99,560,181,Customer_68,Industrial,Japan,Asia-Pacific,41,55440,51381
6760,2023-08-02,1198,Product_1238,Robotics,23,499,134,Customer_83,Industrial,Japan,Asia-Pacific,101,11477,9154
5695,2023-08-02,1416,Product_1342,Microchip,83,91,306,Customer_389,Industrial,China,Asia-Pacific,418,7553,-27141
4481,2023-08-02,1192,Product_1480,Microchip,81,633,387,Customer_230,Consumer Electronics,USA,North America,433,51273,16200
8687,2023-08-02,1419,Product_1103,Sensor,93,682,367,Customer_5,Consumer Electronics,USA,Asia-Pacific,699,63426,-1581
2222,2023-08-02,1052,Product_1296,Robotics,67,479,198,Customer_363,Industrial,South Korea,North America,505,32093,-1742
1882,2023-08-02,1023,Product_1152,Sensor,10,750,149,Customer_450,Industrial,China,North America,790,7500,-400
9292,2023-08-02,1150,Product_1349,Sensor,88,516,294,Customer_172,Automotive,USA,Europe,21,45408,43560
5820,2023-08-02,1016,Product_1288,Sensor,75,223,146,Customer_154,Consumer Electronics,USA,North America,42,16725,13575
5694,2023-08-02,1418,Product_1140,Sensor,76,20,391,Customer_372,Consumer Electronics,Japan,Europe,616,1520,-45296
1607,2023-08-02,1259,Product_1471,Sensor,22,366,444,Customer_346,Industrial,Germany,Europe,621,8052,-5610
6092,2023-08-02,1486,Product_1129,Microchip,7,565,173,Customer_8,Industrial,Germany,North America,607,3955,-294
6458,2023-08-02,1084,Product_1464,Robotics,3,806,163,Customer_383,Industrial,USA,Asia-Pacific,164,2418,1926
3880,2023-08-02,1472,Product_1217,Robotics,55,926,453,Customer_228,Industrial,Germany,Europe,247,50930,37345
2466,2023-08-02,1376,Product_1097,Robotics,17,21,206,Customer_274,Automotive,USA,North America,194,357,-2941
815,2023-08-02,1482,Product_1057,Sensor,59,468,120,Customer_170,Consumer Electronics,Germany,North America,257,27612,12449
1404,2023-08-02,1220,Product_1050,Sensor,89,75,132,Customer_128,Industrial,Germany,North America,138,6675,-5607
219,2023-08-02,1446,Product_1283,Microchip,62,585,213,Customer_273,Automotive,South Korea,Europe,762,36270,-10974
4061,2023-08-02,1194,Product_1030,Robotics,2,860,402,Customer_379,Industrial,Germany,Europe,609,1720,502
5062,2023-08-02,1474,Product_1266,Robotics,95,547,246,Customer_444,Consumer Electronics,USA,Asia-Pacific,575,51965,-2660
4100,2023-08-02,1435,Product_1473,Microchip,60,500,132,Customer_127,Consumer Electronics,USA,Europe,723,30000,-13380
768,2023-08-02,1294,Product_1423,Sensor,30,893,62,Customer_86,Automotive,China,Europe,176,26790,21510
3684,2023-08-02,1229,Product_1204,Robotics,45,404,122,Customer_187,Industrial,South Korea,Asia-Pacific,737,18180,-14985
120,2023-08-02,1135,Product_1372,Robotics,2,393,236,Customer_42,Automotive,Germany,North America,608,786,-430
6302,2023-08-02,1110,Product_1149,Microchip,44,357,421,Customer_187,Automotive,South Korea,Asia-Pacific,43,15708,13816
3417,2023-08-02,1016,Product_1397,Robotics,40,732,158,Customer_121,Automotive,Germany,Asia-Pacific,32,29280,28000
7555,2023-08-02,1148,Product_1295,Sensor,37,91,339,Customer_317,Consumer Electronics,South Korea,Asia-Pacific,35,3367,2072
5705,2023-08-02,1171,Product_1092,Microchip,87,490,67,Customer_451,Industrial,China,North America,468,42630,1914
5529,2023-08-02,1180,Product_1408,Robotics,51,263,153,Customer_413,Consumer Electronics,China,North America,518,13413,-13005
9373,2023-08-02,1239,Product_1235,Microchip,91,498,312,Customer_452,Automotive,China,Asia-Pacific,384,45318,10374
9610,2023-08-02,1307,Product_1446,Robotics,7,816,187,Customer_477,Consumer Electronics,Japan,Asia-Pacific,218,5712,4186
9528,2023-08-03,1126,Product_1091,Sensor,17,265,209,Customer_428,Consumer Electronics,USA,North America,207,4505,986
4348,2023-08-03,1247,Product_1299,Sensor,48,632,101,Customer_165,Automotive,South Korea,North America,480,30336,7296
3343,2023-08-03,1071,Product_1261,Sensor,40,743,111,Customer_93,Consumer Electronics,USA,Europe,770,29720,-1080
5459,2023-08-03,1126,Product_1259,Microchip,68,329,378,Customer_88,Consumer Electronics,USA,Europe,69,22372,17680
4227,2023-08-03,1289,Product_1418,Robotics,51,865,499,Customer_355,Industrial,Germany,Europe,732,44115,6783
5691,2023-08-03,1213,Product_1345,Robotics,54,60,430,Customer_112,Industrial,Germany,North America,627,3240,-30618
2937,2023-08-03,1342,Product_1425,Robotics,90,748,315,Customer_450,Automotive,China,Asia-Pacific,673,67320,6750
3299,2023-08-03,1242,Product_1457,Microchip,39,218,198,Customer_24,Automotive,South Korea,Europe,162,8502,2184
955,2023-08-03,1146,Product_1200,Sensor,60,972,337,Customer_452,Industrial,South Korea,North America,66,58320,54360
7718,2023-08-03,1261,Product_1086,Sensor,3,250,1,Customer_500,Industrial,Germany,Asia-Pacific,659,750,-1227
7528,2023-08-03,1031,Product_1253,Microchip,89,151,142,Customer_330,Automotive,South Korea,Asia-Pacific,774,13439,-55447
6009,2023-08-03,1237,Product_1402,Sensor,6,749,393,Customer_345,Automotive,Japan,Europe,748,4494,6
1209,2023-08-03,1341,Product_1179,Sensor,94,278,82,Customer_346,Consumer Electronics,South Korea,Europe,312,26132,-3196
989,2023-08-03,1243,Product_1036,Microchip,72,720,47,Customer_496,Industrial,China,Europe,597,51840,8856
1569,2023-08-03,1274,Product_1205,Microchip,40,832,443,Customer_463,Consumer Electronics,South Korea,Asia-Pacific,737,33280,3800
2251,2023-08-03,1341,Product_1396,Sensor,39,53,264,Customer_424,Automotive,China,Europe,687,2067,-24726
